Item Municipal|DESCRIÇÃO DO SERVIÇO MUNICIPAL|ALÍQUOTA|BENEFÍCIO FISCAL|SOCIEDADE|COMENTÁRIO|UF|CIDADE|Do prestador|Do tomador|Descrição
1|Serviços de informática e congêneres.|||||SP|Louveira|||
1.01|Análise e desenvolvimento de sistemas.|2%||||SP|Louveira|||
1.02|Programação.|2%||||SP|Louveira|||
1.03|Processamento, armazenamento ou hospedagem de dados, textos, imagens, vídeos, páginas eletrônicas, aplicativos de informação, entre outros formatos, e congêneres.|2%||||SP|Louveira|||
1.04|Elaboração de programas de computadores, inclusive de jogos eletrônicos, independentemente da arquitetura construtiva da máquina em que o programa será executado, incluindo tablets, smartphones e congêneres|2%||||SP|Louveira|||
1.05|Licenciamento ou cessão de direito de uso de programas de computação.|2%||||SP|Louveira|||
1.06|Assessoria e consultoria em informática.|2%||||SP|Louveira|||
1.07|Suporte técnico em informática, inclusive instalação, configuração e manutenção de programas de computação e bancos de dados.|2%||||SP|Louveira|||
1.08|Planejamento, confecção, manutenção e atualização de páginas eletrônicas.|2%||||SP|Louveira|||
1.09|Disponibilização, sem cessão definitiva, de conteúdos de áudio, vídeo, imagem e texto por meio da internet, respeitada a imunidade de livros, jornais e periódicos (exceto a distribuição de conteúdos pelas prestadoras de Serviço de Acesso Condicionado, de que trata a Lei nº 12.485, de 12 de setembro de 2011, sujeita ao ICMS).|2%||||SP|Louveira|||
2|Serviços de pesquisas e desenvolvimento de qualquer natureza.|||||SP|Louveira|||
2.01|Serviços de pesquisas e desenvolvimento de qualquer natureza.|2%||||SP|Louveira|||
3|Serviços prestados mediante locação, cessão de direito de uso e congêneres.|||||SP|Louveira|||
3.02|Cessão de direito de uso de marcas e de sinais de propaganda.|2%||||SP|Louveira|||
3.03|Exploração de salões de festas, centro de convenções, escritórios virtuais, stands, quadras esportivas, estádios, ginásios, auditórios, casas de espetáculos, parques de diversões, canchas e congêneres, para realização de eventos ou negócios de qualquer natureza.|2%||||SP|Louveira|||
3.04|Locação, sublocação, arrendamento, direito de passagem ou permissão de uso, compartilhado ou não, de ferrovia, rodovia, postes, cabos, dutos e condutos de qualquer natureza.|3%||||SP|Louveira|||
3.05|Cessão de andaimes, palcos, coberturas e outras estruturas de uso temporário.|2%||||SP|Louveira|||
4|Serviços de saúde, assistência médica e congêneres.|||||SP|Louveira|||
4.01|Medicina e biomedicina.|2%||||SP|Louveira|||
4.02|Análises clínicas, patologia, eletricidade médica, radioterapia, quimioterapia, ultra-sonografia, ressonância magnética, radiologia, tomografia e congêneres.|2%||||SP|Louveira|||
4.03|Hospitais, clínicas, laboratórios, sanatórios, manicômios, casas de saúde, prontos-socorros, ambulatórios e congêneres.|2%||||SP|Louveira|||
4.04|Instrumentação cirúrgica.|2%||||SP|Louveira|||
4.05|Acupuntura.|2%||||SP|Louveira|||
4.06|Enfermagem, inclusive serviços auxiliares.|2%||||SP|Louveira|||
4.07|Serviços farmacêuticos.|2%||||SP|Louveira|||
4.08|Terapia ocupacional, fisioterapia e fonoaudiologia.|2%||||SP|Louveira|||
4.09|Terapias de qualquer espécie destinadas ao tratamento físico, orgânico e mental.|2%||||SP|Louveira|||
4.10|Nutrição.|2%||||SP|Louveira|||
4.11|Obstetrícia.|2%||||SP|Louveira|||
4.12|Odontologia.|2%||||SP|Louveira|||
4.13|Ortóptica.|2%||||SP|Louveira|||
4.14|Próteses sob encomenda.|2%||||SP|Louveira|||
4.15|Psicanálise.|2%||||SP|Louveira|||
4.16|Psicologia.|2%||||SP|Louveira|||
4.17|Casas de repouso e de recuperação, creches, asilos e congêneres.|2%||||SP|Louveira|||
4.18|Inseminação artificial, fertilização in vitro e congêneres.|2%||||SP|Louveira|||
4.19|Bancos de sangue, leite, pele, olhos, óvulos, sêmen e congêneres.|2%||||SP|Louveira|||
4.20|Coleta de sangue, leite, tecidos, sêmen, órgãos e materiais biológicos de qualquer espécie.|2%||||SP|Louveira|||
4.21|Unidade de atendimento, assistência ou tratamento móvel e congêneres.|2%||||SP|Louveira|||
4.22|Planos de medicina de grupo ou individual e convênios para prestação de assistência médica, hospitalar, odontológica e congêneres.|2%||||SP|Louveira|||
4.23|Outros planos de saúde que se cumpram através de serviços de terceiros contratados, credenciados, cooperados ou apenas pagos pelo operador do plano mediante indicação do beneficiário.|2%||||SP|Louveira|||
5|Serviços de medicina e assistência veterinária e congêneres.|||||SP|Louveira|||
5.01|Medicina veterinária e zootecnia.|2%||||SP|Louveira|||
5.02|Hospitais, clínicas, ambulatórios, prontos-socorros e congêneres, na área veterinária.|2%||||SP|Louveira|||
5.03|Laboratórios de análise na área veterinária.|2%||||SP|Louveira|||
5.04|Inseminação artificial, fertilização in vitro e congêneres.|2%||||SP|Louveira|||
5.05|Bancos de sangue e de órgãos e congêneres.|2%||||SP|Louveira|||
5.06|Coleta de sangue, leite, tecidos, sêmen, órgãos e materiais biológicos de qualquer espécie.|2%||||SP|Louveira|||
5.07|Unidade de atendimento, assistência ou tratamento móvel e congêneres.|2%||||SP|Louveira|||
5.08|Guarda, tratamento, amestramento, embelezamento, alojamento e congêneres.|2%||||SP|Louveira|||
5.09|Planos de atendimento e assistência médico-veterinária.|2%||||SP|Louveira|||
6|Serviços de cuidados pessoais, estética, atividades físicas e congêneres.|||||SP|Louveira|||
6.01|Barbearia, cabeleireiros, manicuros, pedicuros e congêneres.|2%||||SP|Louveira|||
6.02|Esteticistas, tratamento de pele, depilação e congêneres.|2%||||SP|Louveira|||
6.03|Banhos, duchas, sauna, massagens e congêneres.|2%||||SP|Louveira|||
6.04|Ginástica, dança, esportes, natação, artes marciais e demais atividades físicas.|2%||||SP|Louveira|||
6.05|Centros de emagrecimento, spa e congêneres.|2%||||SP|Louveira|||
6.06|Aplicação de tatuagens, piercings e congêneres.|2%||||SP|Louveira|||
7|Serviços relativos a engenharia, arquitetura, geologia, urbanismo, construção civil, manutenção, limpeza, meio ambiente, saneamento e congêneres.|||||SP|Louveira|||
7.01|Engenharia, agronomia, agrimensura, arquitetura, geologia, urbanismo, paisagismo e congêneres.|2%|Lei nº 617/1979, art. 56, Lei nº 1.550/2002, art. 3º; Decreto nº 4003/2013, art. 1º § 4º|||SP|Louveira|||
7.02|Execução, por administração, empreitada ou subempreitada, de obras de construção civil, hidráulica ou elétrica e de outras obras semelhantes, inclusive sondagem, perfuração de poços, escavação, drenagem e irrigação, terraplanagem, pavimentação, concretagem e a instalação e montagem de produtos, peças e equipamentos (exceto o fornecimento de mercadorias produzidas pelo prestador de serviços fora do local da prestação dos serviços, que fica sujeito ao ICMS).|4%|Lei nº 617/1979, art. 56, Lei nº 1.550/2002, art. 3º; Decreto nº 4003/2013, art. 1º § 4º|||SP|Louveira|||
7.03|Elaboração de planos diretores, estudos de viabilidade, estudos organizacionais e outros, relacionados com obras e serviços de engenharia; elaboração de anteprojetos, projetos básicos e projetos executivos para trabalhos de engenharia.|2%|Lei nº 617/1979, art. 56, Lei nº 1.550/2002, art. 3º; Decreto nº 4003/2013, art. 1º § 4º|||SP|Louveira|||
7.04|Demolição.|2%|Lei nº 617/1979, art. 56, Lei nº 1.550/2002, art. 3º; Decreto nº 4003/2013, art. 1º § 4º|||SP|Louveira|||
